CommentID	Class	PostID	Score	 Comment Text
3442894	C7	3320799	11	 `import static System.out;` is a rare practice, and quite unnecessary in my opinion, and thus seeing `out.println` can cause confusion at least initially. Static import has more idiomatic usage, but this particular case isn't it.

8132319	C6	6841479	482	 @Gareth: Nope, but checking the details of Shanghai time zone transitions at that period was my first port of call. And I've been working on time zone transitions for Noda Time recently, so the possibility of ambiguity is pretty much at the forefront of m

61197	C2	71399	120	 I think people should start looking at enums as just a class with a feature. if you can list the instances of your class at compile time, use an enum.

3420222	C7	3301720	68	 Extra points for evilness...

4012086	C7	3786376	91	 Even better: just return the value right away without using intermediate `size` variable.

6152160	C6	5433425	19	 @Suhail: Press the "return" key on your keyboard. Otherwise known as "enter".

25768514	C6	4011232	7	 I am floored that this isn't built-in...

860803	C7	34658	114	 Useful if you don't know the API perhaps, but if you are having to test private methods in this manner there is something up with your design. As another poster says unit testing should test the class's contract: if the contract is too broad and instantiates too much of the system then the design should be addressed.

14832502	C7	11227902	7	 @Steve Yes, that's the downside of branch prediction and [speculative execution](http://en.wikipedia.org/wiki/Speculative_execution). You pay a heavier cost during a mispredict. But it pays off in the end because branches are (usually) correctly predicted

6104483	C7	3301720	21	 Yo, dawg. I heard you like reflection, so I reflected on field so you can reflect while you reflect.

15637182	C7	11774161	85	 I am looking forward to the day when I inherit some code that uses these identifiers!

14985551	C7	11227902	390	 I would like to point out that the reason the Intel compiler does the loop swap is actually far more impressive than just to help out branch prediction. The loops written as is are almost 100% guaranteed to cause millions of cache misses on every iteration of the outer loop. If you flip the two loops, you get at most 32768 cache misses (disregarding os preemption.) A missed branch prediction here costs nanoseconds. A cache miss can cause milliseconds if it has to fetch from memory. That's a 10000000x improvement.

43195495	C7	27371089	9	 @MorphingDragon That doesn't make sense. `-` allows you to have negative literals. The unary `+` is redundant with no operator at all, making it much less useful than `-`.

5421530	C7	3787093	30	 -1: you're giving examples but not really explaining the difference between a volatile and an Atomicxxxx.

46656	C5	154939	61	 This is an excelent example of polymorphism (in java) :) Great Answer!

19276614	C3	271874	8	 Instead of the DO_NOTHING action I would probably create a hasAction(userInput) method, returning a true or false if there is a valid action for that userInput. Then findAction would return the action or throw an Exception ActionNotFoundException

20452316	C2	154939	61	 This example also nicely highlights the difficulty of using a hierarchical system to describe biological systems. Some humans, such as the very young, pee in almost any position - and babies can't easily be told to goPee(). Some humans are intersex, where the biological labels of "male" or "female" become rather ill-defined; the social meanings are even more complex. As a teaching example, it shows how modeling assumptions can have negative results, such as the implication that someone (e.g., a student of OO programming) who is incontinent or intersex is not actually human.

26490786	C2	4240323	11	 @AfshinMoazami I think str.substring(i+1, n) can be replaced by str.substring(i+1). Using str.substring(i) will cause java.lang.StackOverflowError.

27132473	C7	18460710	9	 @Marko I agree with your thinking, but not necessarily your conclusion. To me the bytecode above is the obvious/canonical way of implementing `!=`, which involves loading the LHS and RHS separately. And so if the JLS *doesn't* mention anything specific

16510496	C7	3787093	10	 The question is not about `volatile`. The question is about `volatile boolean` vs `AtomicBoolean`.

1130963	C2	1299889	23	 Not quite true, Java does generate captures for the variables in question to capture their run-time values, its just they wanted to avoid a strange side-effect that is possible in .Net where by you capture the value in the delegate, change the value in the outer method, and now the delegate sees the new value see, http://stackoverflow.com/questions/271440/c-captured-variable-in-loop for the C# example of this behaviour that Java aims to avoid.

5171034	C2	2997760	8	 Thank you!! This should be the correct answer! :) I adjusted this for a little more flexibility in this post: http://stackoverflow.com/questions/4677269/how-to-stretch-three-images-across-the-screen-preserving-aspect-ratio There I use a ImageView so one can set the drawable in the XML or use it like normal ImageView in code to set the image. Works great!

315566	C7	241209	9	 Most of your examples are available in Eclipse, either directly or via 3rd party plugins. I know of no one who uses an external tool for svn merge in Eclipse. For spring/hibernate/javascript editors (and autocomplete) there are 3rd party plugins. As for regex and jsp EL, you beat me :)

21311429	C2	513839	41	 Just a note `equals()` **exactly** Compares this String to another String, BUT `equalsIgnoreCase()` Compares this String to another String, **ignoring case considerations**

12495585	C2	9810499	6	 Still, `HashMap` is a `Map` due to the polymorphism.

163160	C7	322742	75	 Forgot to mention insertion costs. In a LinkedList, once you have the correct position, insertion costs O(1), while in an ArrayList it goes up to O(n) - all elements past the insertion point must be moved.

334729	C2	521235	16	 Um...no it wouldn't. The fields are marked as final, so they can't be reassigned. And it's not threadsafe because 'left' and 'right' could be mutable. Unless getLeft()/getRight() returned defensive copies (useless in this case), I don't see what the big deal is.

1238251	C7	471314	11	 its mathematically solid, why should one unreal number equal another? 5/0 != sqrt(-4)

12218559	C4	4837230	8	 @sweeney In other words you are now liable to man-in-the-middle attacks. You should also note that that code doesn't meet the specification: check the Javadoc. `getAcceptedIssuers()` isn't allowed to return null.

24063833	C6	3758880	6	 I think every one should note that in your project customer want see values in base 2 (devided by 1024) but with common prefix. Not KiB, MiB, GiB etc. Use KB, MB, GB, TB for it.

10922853	C7	8763548	25	 +1 for generating a surprisingly coherent error message.

11305751	C6	2997760	17	 I can't believe how difficult it is to do things on Android that are trivially easy in iOS and Windows Phone.

8520869	C2	26318	17	 1) The `Thread` is unnecessary. 2) For a good example of using `Clip`, see the [JavaSound info. page](http://stackoverflow.com/tags/javasound/info). 3) If a method requires an `URL` (or `File`) give it a dang `URL` (or `File`) rather than accept a `String` that represents one. (Just a personal 'bee in my bonnet'.) 4) `e.printStackTrace();` provides more information with less typing than `System.err.println(e.getMessage());`.

28303211	C7	574267	12	 I know this is an old question but synchronizing on "this" is considered in some circles to be an anti-pattern. The unintended consequence is that outside of the class someone can lock on an object reference that is equal to "this" and prevent other threads from passing the barriers within the class potentially creating a deadlock situation. Creating a "private final Object = new Object();" variable purely for locking purposes is the often used solution. [Here's another question](http://stackoverflow.com/questions/442564/avoid-synchronizedthis-in-java?lq=1) relating directly to this issue.

16597447	C6	509230	25	 It's not just that it's an ugly, confusing, mess (when you can't avoid one copious comments can walk the maintenance programmer through it); iterating over every element in the collection turns the cast from an O(1) to an O(n) operation. This is something that would never be expected and can easily turn into a horrible mystery slowdown.

28847811	C6	6841479	121	 @EdS. It actually only took him 15 minutes, the reason it shows a 16 minute difference is due to a slight timezone discrepancy on July 27th 2011 caused by how awesome Jon Skeet is.

43203593	C7	27371089	6	 Whilst this is a Java question, I will also point out that using unary + is a common shorthand technique in some langauges (e.g. Javascript) for casting to a number. e.g. given a string `var s = '123';` then `+s` will evaluate to the number 123.

6155504	C5	5433425	7	 +1 @Jon You deserve a million rep for this one :)

13617086	C4	2549222	9	 Doesn't this cut out new line characters?

35101674	C3	513839	6	 One minor edit, == is not "much cheaper" than .equals, because the first statement in String.equals reads: if (this == anObject) { return true; }.

5850964	C2	5199425	11	 @TREE - the spec actually *requires* VMs to create flyweights within a certain range. But sadly it *allows* them to extend that range, meaning that programs may behave differently on different VMs. So much for cross platform...

3152122	C7	3076081	125	 +1: lovely solution to the puzzle, but hopefully we don't see anything like this in the real world :)

8138059	C6	6841479	23	 @Jon Do you happen to know if Java/.NET copes with September in 1752? I always used to love showing people cal 9 1752 on unix systems

27732846	C7	18804636	10	 can you please explain, why != is checking for the memory index of reference objects and <= is checking for the un-boxed value of Integer ??.. why there is such difference between these operator ?

10604657	C6	509230	16	 Dude, that's definitely not worth it! Imagine the poor sap who has to come back and modify some code with that mess in there. I don't like suppressing warnings, but I think that's the lesser evil here.

110059	C7	31929	61	 holy detailed answer batman! :)

16949161	C5	469315	7	 Wow... It's almost unbelieveable to see something implemented in a more verbose way in C# than in Java

2950883	C6	2893932	32	 @EJP It's by teaching people that you educate them, not by hiding things. So keeping things secret or in obscurity is not a solution at all. This code is public, the Java API is public, it's better to talk about it than to ignore it. But I can live with

1710194	C4	271874	8	 Assertion is good for TESTING. It's dangerous to use on PROD.

1820868	C5	1915197	21	 +1 for the extra detail about different drivers.

14817548	C7	11227902	7	 4) I think branch prediction per se is not something to take into account when designing, however avoiding branches, especially particularly unpredictable ones like this one, in inner loops is something to take into account when first writing code, it's always going to hurt afterwards. Avoid control alternatives and turn them into data alternatives (the ternary operator), at the very least.

712968	C7	424936	35	 Wow, this is beautiful. I'd seen Hensel lifting before (computing roots of polynomials modulo a prime) but I hadn't even realised the lemma could be carefully lowered all the way for computing square roots of numbers; this is... uplifting :)

2555610	C7	2553533	11	 don't you mean: substring(s2,concat(s1,s1)?

18769096	C7	13671003	35	 It's sounds like the interviewer was more invested in his answer than he was in yours...

22159109	C7	15621602	49	 Now if only I could read that...

6792586	C6	5901682	106	 +1 for that final paragraph. It's a vital point that's left out of consideration *far* too often.

14832103	C7	11227902	11	 @Steve That's because processors can execute multiple instructions at the same time. They don't wait until the previous instructions finish before it starts the next one. Take a look at: http://en.wikipedia.org/wiki/Instruction_pipeline The diagram shows

3282630	C2	3180202	21	 @svachon: I'd wrap those classes with own javabean classes and use them instead.

2558577	C7	2553533	6	 #NAME?

12394042	C7	9728314	23	 @sehe I wait for your alternative design of wow64

2555593	C7	2553533	13	 That's very nice. +1.

5844989	C6	5199425	21	 Wow, EPIC autoboxing FAIL.

10747399	C4	3934409	17	 This code does not work properly. Some "0" characters becomes missing in the generated string. I don't know why, but that's the case.

2555585	C7	2553533	37	 +1 Nice!.......

1835854	C7	1927840	22	 It does compile in C# provided that you declare the type as: public class Foo<T> where T : new(). Which will limit the valid types of T to those that contain a parameterless constructor.

12377026	C7	9728314	25	 @Jon That something is known as the File System Redirector.

5643363	C2	5039178	18	 The same will be possible with Java 7 Objects.equals: http://download.oracle.com/javase/7/docs/api/java/util/Objects.html#equals%28java.lang.Object,%20java.lang.Object%29

30936065	C1	20660044	95	 They named a function `isEquals`??

12339007	C7	574267	18	 A benefit to the consumer of the API is that using the synchronized keyword in the method declaration also explicitly declares that the method synchronizes on the object instance and is (presumably) thread-safe.

8193373	C6	6841479	278	 But then : how on Earth has this kind of knowledge survived the ages, so that nearly a century ago, it is implemented in software ? In 2011, anyone who mention timezone oddities to a non-software engineer is looked upon like a nerd. (And really, people expect all software to abstract it, and they don't give a damn if it's ambigous, when they say 'noon', *we* software engineer should deal with it). But to imagine someone in Shangai, in December 1927, thinking it would be relevant to note such a thing down, and that somehow this information was never lost, deleted, anything ... mind's blown.

8137183	C1	6841479	11	 @Jon: Out of curiosity, why did they set their clocks back by such a "weird" interval? Anything like an hour would have seemed logical, but how come it was 5:52mins?

2080234	C6	1439792	8	 @JuanZe: That requires working out exactly how to do something properly in a painful API, which is by definition painful. I'd rather spend that time doing something more productive :)

2903068	C6	2663147	11	 You should really cite your references. This algorithm was invented by Robert Floyd in the '60s, It's known as Floyd's cycle-finding algorithm, aka. The Tortoise and Hare Algorithm.

522409	C2	271874	31	 In your 'getParser' example, I think I would argue that an exception should have been thrown if 'null' was going to be returned unless you can somehow construct a valid argument for why returning null is NOT an 'exceptional' case.

8652314	C7	7202659	42	 +1 for digging, I also couldn't find the reason for it. :)

6129231	C5	5318896	8	 Why doesn't this have more upvotes? Terrific answer!

5863455	C2	5199425	20	 @Catalin I disagree with you that autoboxing is a complete failure. It has some flaws, which is no different than any other design that could have been used (including nothing.) They make very clear what you can and can't expect, and like any other design

13552564	C7	10486601	13	 #NAME?

27732902	C7	18804636	41	 @PunithRaj < & > operators work on primitives and not on objects, hence the auto unboxing happens for these operators. But == and != operators can be used for objects comparison also so no need of unboxing here, hence objects are compared.

26983424	C4	513839	10	 @SnakeDoc — We can say the opposite. *Always use `equals()` unless you have a good reason.* What you call safety is entirely context-dependent. For instance, when comparing passwords to determine whether the user has entered the right password, it is

13361419	C2	521235	8	 "Note that hashCode() as-is does gives the same value if left and right are swapped. Perhaps: `long l = left.hashCode() * 2654435761L;` `return (int)l + (int)(l >>> 32) + right.hashCode();`"

2556610	C2	2553533	6	 You can also use `(s1+s1).contains(s2)` in Java.

407019	C2	513839	11	 @Xokas11: compareTo is generally used for sorting.

8146787	C6	6850411	16	 @trutheality: I prefer most of my code to be as unindented as possible though. And a condition with a compound assignment feels more complicated to me.

15637591	C7	11774161	46	 @MarkoTopolnik Be careful what you wish for. ;)

12369966	C7	9728314	9	 +1... so user *"Pawel Veselov"* was right ; )

11861802	C6	5318896	11	 wow, longest answer I've ever seen on SO.

20840974	C2	7626872	40	 You can use jackson with inner (nested) classes, serialization works just fine in this case. The only stumbling block is that the inner class must be marked as "static" for deserialization to work properly. See exlanation here: http://cowtowncoder.com/blog/archives/2010/08/entry_411.html

24161546	C7	16769877	14	 @3D-kreativ: Yes, but I'd still recommend using the "extract to method" approach.

2680790	C3	2663147	10	 Also need to do a null-check on `fast.next` before calling `next` again: `if(fast.next!=null)fast=fast.next.next;`

8145278	C1	6841479	8	 Does this mean that, somewhere in the Java date libraries, there's logic handling this very edge case (and every other bizarre edge case)?

5789745	C6	154939	10	 I just saw this and believe me i just threw out my coffee out my mouth on my monitor... LOL

2985446	C6	2793153	68	 You should place the apache link first, so people looking for a solution find it faster ;)

14760415	C7	11227902	20	 I'd be interested to know what clang does here.

4020239	C7	3786376	7	 @seanizer: less understandable than using tons of useless intermediate steps for the sake of code "purity"?

15465165	C2	1036763	6	 Interruption is intended as a mechanism to gently encourage a thread to stop running entirely and cancel remaining operations. `wait`/`notify` are typically used to wait for some other thread to accomplish a task, or to wait until a certain condition is satisfied.

1881407	C3	924326	6	 If using DBI makes the code more readable or expressive, then use it. The fact that it increases a bit the work the JVM has to perform is not a valid argument, in itself, against it. If it were, then we should also be worried about extra helper methods/classes, preferring instead huge classes with fewer methods...

25711216	C2	2222268	7	 @KenBlair: A StringBuffer is returned on purpose, so that you easily can add on more stash. Since this is specified on the javadoc, it would be extremely absurd of the implementation to expect that the returned StringBuffer would not be modified by the ca

15001038	C7	11227902	14	 It depends on the processor, but yes 100-1000x is more realistic on modern processors with sizable L2 caches.

2556089	C7	2553533	49	 I like its elegance, but I had to think for a while to check there weren't any false positives. (I don't *think* there are.)

625625	C7	816152	16	 Integer.MAX_VALUE is 2^31-1, actually. :)

20197854	C2	14492320	15	 These results vary heavily with the initial seeds passed to `QuickRandom`. Sometimes, it's close to uniform, sometimes it's _much_ worse than this.

14808234	C7	11227902	10	 @PeterM I would say that branch prediction is not something that you should worry about when you design code. Stuff like memory and cache is much more important. However, bottlenecks from branch mispredictions can be very hard to detect unless you have ac

802984	C2	992413	17	 @Nick: Read PKCS #5. Salts are necessary for PBKDF2, which is why the API for password-based encryption requires them as input for key derivation. Without salts, a dictionary attack could be used, enabling a pre-computed list of the most likely symmetric

2944805	C1	2885744	13	 hmm how about if i do not have QuickOffice installed in my Android?

3277789	C5	3180202	68	 +1 Great answer. But don't go dogmatic, sometime using scriptlets IS ok, but that should be the exception that proves the rule.

8652357	C7	7202659	67	 +1 effort for pretty ascii art :)

8157714	C6	6841479	247	 @Charles: back then, travellers knew to expect local time to be different everywhere (because it was). Additionally, watches were mechanical and drifted quickly, so people we used to adjusting them according to the local clocktower every couple of days an

21921396	C4	521235	12	 So if I understand correctly, rolling out a simple pair class yields a syntax error, a subpar hashCode method, null pointer exceptions, no compareTo method, design questions ... and people still advocate rolling out this class while it exists in Apache commons. Please, just copy the code if you don't want to include the JAR but stop reinventing the wheel!

7353989	C2	140861	19	 "0" is not valid input. Bytes require two hexidecimal digits each. As the answer notes, "Feel free to add argument checking...if the argument is not known to be safe."

8147654	C6	6841479	16	 @Charles: Lots of places were had less conventional offsets back then. In some countries, different towns each had their own offset to be as close to geographically correct as possible.

50369	C6	160935	18	 "I'd say, if (x % 2 != 0) { /* x is odd */ }, but who knows. Do not know java either."

13533724	C7	10474780	45	 Another fine example how writing *less* makes the program *more* correct.

12013927	C7	745769	47	 This is helpful. It's worth mentioning that the class _must_ come first, you cannot say '<T extends InterfaceB & ClassA>'.

31475926	C6	20952364	15	 You should just be glad I didn't post the Spring solution using an XML configuration of the set.

5945892	C7	322742	25	 No, for a LinkedList, get is still O(n) even if you know the position, because in order to get to that position, the underlying implementation has to walk the linked list's "next" pointers to get to that position's value. There is no such thing as random access. For position 2, walking the pointers might be cheap, but for position 1 million, not so cheap. The point is, it's proportional to the position, which means it's O(n).

4072657	C5	3831945	81	 +1 awesome use of a Race Condition to display the intermediate value.

8088799	C4	4837230	101	 this answer should probably note that trusting all certificates is horribly insecure and nullifies the entire purpose of ssl...

13555994	C7	10486601	25	 Minor notice: LinkedList will search from the end of the list if the index is in the later half of the list, but that doesn't really change the fundamental inefficiency. It makes it only slightly less problematic.

14794057	C7	11227902	26	 @J-16SDiZ Note that I did mention that it is not strictly equivalent to the original if-statement. `data[x]` is always between `0` and `255` so it doesn't get near that corner case.

18948176	C3	4240323	6	 str.substring(i+1, n) can be replace by str.substring(i)

4428661	C7	574650	9	 @Jakob The [alternative is documented black on white](http://maven.apache.org/plugins/maven-assembly-plugin/plugin-info.html), use `assembly:single` instead.

4684817	C5	4298836	18	 +1 for your solution (although I'd like to give you -1 for your language and attitude)

15639562	C7	11774161	82	 if ( ︳ ︳| ︳!= ︳ ︳ ︳|| ︴) ...

3978983	C6	3758880	7	 I prefer 1.0 KB. Then it's clear how many significant figures the output entails. (This also seems to be the behavior of for instance the `du` command in Linux.)

4402671	C7	574650	7	 The Maven documentation says at http://maven.apache.org/plugins/maven-assembly-plugin/ that "Usage of the assembly:assembly [...] are DEPRECATED, since they wreak havoc with normal build processes and promote non-standard build practices." without explaining details and providing an easy alternative - looks like ideology, since you can quickly solve the task as described in this answer.

2364445	C2	271874	34	 @Cshah (and MetroidFan2002). Simple, put that into the contract and then it is clear that a non-found returned action will do nothing. If this is important information to the caller, then provide a way to discover that it was a non-found action (i.e. prov

27132250	C7	18460710	19	 Although strong evidence, bytecode is not actually a proof. It must be somewhere in the JLS as well...

3690193	C6	886979	125	 Don't question the Skeets infinite wisdom!!! :-)

172022	C2	71399	15	 I'm with Amir. The name "enum" has so many preconceived expectations, that it's takes a little while to sink in that, in Java, enumerations are really much more than a list of symbolic constants.

27737463	C7	18804636	14	 Ah, the hidden dangers of implicit boxing/unboxing!!

5269546	C6	2793153	20	 @ivanceras: If you can't boil it down based on the information in this answer, then please press `Ask Question` button at right top.

3976536	C5	3758880	6	 +1. You rock, aioobe.

712166	C3	453067	16	 You're going to close that InputStream when you're done with it, aren't you?

20262870	C2	14492320	33	 Mandatory quotes: Anyone who considers arithmetical methods of producing random digits is, of course, in a state of sin.�? - John von Neumann (1951)AAnyone who has not seen the above quotation in at least10 places is probably not very old.�? - D. V. Pryor (1993)R andom number generators should not be chosen at random.�?- Donald Knuth (1986)

2751928	C7	2725165	13	 At what step exactly are you stucking? My answer almost writes code itself. Did you also note that the code references in blue are actually links to Javadocs which describes the class/method behaviour in detail? At any way, you can find [here](http://courses.coreservlets.com/Course-Materials/csajsp2.html) and [here](http://courses.coreservlets.com/Course-Materials/msajsp.html) good JSP/Servlet tutorials, specifically [this](http://courses.coreservlets.com/Course-Materials/pdf/msajsp/05-Filters.pdf) one about filters.

3975997	C5	3758880	40	 That's pretty cool (+1)

12105953	C2	1299889	11	 Java does not, in fact, support closures. Languages that support closures do so by storing the entire local environment (that is, the set of local variables defined in the current stack frame) as a heap object. Java doesn't have support for this (the language designers wanted to implement it but ran out of time), so as a workaround, whenever a local class is instantiated, the values of any local variables which it refers to are copied onto the heap. However, the JVM can't then keep the values in sync with the local variables, which is why they have to be final.

20197332	C6	14492320	15	 +1 for numerical data - although looking on raw numbers can be misleading as it does not mean that they have statistically significant difference.

5796116	C1	509230	29	 this stuff is confusing, but i think all you have done is traded ClassCastExceptions for AssertionErrors.

5260932	C4	4753866	6	 Obfuscated code. We don't have to code like this nowadays. May work as expected, but I'd encourage the author to have a look at [Roger C. Martin:Clean Code](http://www.amazon.com/Clean-Code-Handbook-Software-Craftsmanship/dp/0132350882)

34394	C6	134918	20	 +1 for putting a lot of effort into this answer.

7712895	C7	34658	6	 The example code didn't work for me, but this made thigs clearer: http://www.java2s.com/Tutorial/Java/0125__Reflection/Callaclassmethodwith2arguments.htm

13566811	C7	10486601	7	 *This is horribly inefficient*. For larger LinkedList -yes, for smaller it can work faster `REVERSE_THRESHOLD` is set 18 in `java.util.Collections`, it's weird to see so upvoted answer without the remark.

4012911	C7	3786376	11	 @Rene Saarsoo It is best practice to have only one return statement

12370353	C7	9728314	63	 There are two versions of `calc.exe`: 64bit in `C:\Windows\system32\` and 32bit in `C:\Windows\SysWOW64\`. For compatibility in a 32bit process `C:\Windows\system32\` is mapped to `C:\Windows\SysWOW64\`. 64bit processes will launch the 64bit calc, 32bit processes the 32bit calc. Not surprising their checksums are different. If you hold the file open and look with `handles.exe` or Process Explorer you'll see the different path.

280017	C7	241209	26	 The two examples about auto-completing java code work identically in eclipse. Could someone with more rep delete just the java examples please?

30941537	C7	20660044	10	 @drigoangelo: I know I know. But I wonder why they didn't just use `isEqual`, so either `verb adjective` or `verb noun`, instead of `verb verb`. Personally, I just prefer `adjective` for boolean functions, and `verb` for procedures that change state.

11809789	C4	886979	6	 it looks like a goto method I did not like this one.

2772379	C6	2553533	6	 @unicornaddict - what's great about this solution is it's so obvious once you point it out, I hate myself for not thinking of it!

348329	C4	462648	27	 It's worse than 'for several minutes' -- you might NEVER see it. Under the Memory Model, the JVM is allowed to optimize while(!stop) into while(true) and then you're hosed. This may only happen on some VMs, only in server mode, only when the JVM recompiles after x iterations of the loop, etc. Ouch!

7204090	C7	574650	10	 Thanks @IAdapter. Note that you should always do a compile before hand because it will just put whatever is in "target/classes" in the JAR. This will ensure that the JAR includes any changes you recently made to the source code. So, you should do something like: `mvn clean compile assembly:single`.

2146296	C7	34658	9	 Very useful. Using this it is important to keep in mind that it would fail badly if tests were run post obfuscation.

14782855	C7	11227902	6	 Couldn't they have devised a system where the engineers flashed their lights or blew the whistle to tell the switchman which way to flip the switch?

22170970	C7	15621602	6	 +1 This answer deserves a gold badge.

329044	C6	513839	147	 I guess in Java you should say "references" instead of "pointers".

8137245	C6	6841479	29	 @Johannes: To make it a more globally normal time zone, I believe - the *resulting* offset is UTC+8. Paris did the same sort of thing in 1911 for example: http://www.timeanddate.com/worldclock/clockchange.html?n=195&year=1911

137945	C6	271874	161	 "I agree that null is overused in Java, especially with lists. So many apis would be better if they return an empty list/array/collection instead of null.Many times, null is used where an exception should be thrown instead. An exception should be thrown if the parser can't parse."

14998489	C7	11227902	40	 @MichaelGraczyk I agree with most of what you say. But that `10000000x` is extremely exaggerated. My tests show that the loop-interchange is "only" 2-3x improvement over the sorted cases for GCC and VC++. Note that the data fits entirely into the L2 cache

20208722	C6	14492320	20	 First rule of statistics: **plot the data**. Your analysis is spot-on, but plotting a histogram shows this much quicker. ;-) (And it’s two lines in R.)

730562	C3	27609	7	 Additional point about appendSuper(): you should use it in hashCode() and equals() if and only if you want to inherit the equality behavior of the superclass. For instance, if you derive straight from Object, there's no point because all Objects are distinct by default.

847514	C7	1036763	11	 @Geek - why in the world do you say wait() wastes CPU cycles?

12830319	C1	2703233	11	 Hmm, it's telling me that 'new SSLSocketFactory(ssslCont)' is expecting a KeyStore, not an SSLContext. Am I missing something?

15789032	C6	4240323	35	 Solution seems to be coming from here http://introcs.cs.princeton.edu/java/23recursion/Permutations.java.html

26089885	C7	7202659	8	 Btw. "public" is also not necessary on methods in an interface declaration... they are always public.

11160386	C7	8920232	8	 @thesaint Compilers aren't perfect. Although they may outdo a human 99% of the time. They are still written by humans. So that doesn't mean they always make the best optimization choices. I've seen numerous cases where compilers (ICC, GCC, MSVC) have done

30938209	C6	20660044	19	 @phresnel welcome to java?

5261000	C6	4753866	15	 Obfuscated? I beg your pardon, but you probably read one book and think you can code somehow differently nowadays. Tell Joel (http://www.joelonsoftware.com/articles/ThePerilsofJavaSchools.html) about that. I dare any code you can possibly write to get anywhere close to the speed of my method!

12673858	C3	5199425	14	 @why-el because they are two different objects. The 256 closest to zero are being cached by the JVM, so they return the same object for those. But beyond that range, they aren't cached, so a new object is created. Does that make sense?

18185279	C6	6841479	78	 why was freewind comparing data 1 second apart in 1927 in the first place?

14016824	C7	10474780	6	 Strictly, the subtraction is performed between two `size_t` values, which are guaranteed unsigned, and unsigned arithmetic wraps modulo the appropriate power of two. The only place where signed/unsigned conversion is possible is in the `result > 0` part, where `result` is the `size_t` value from the subtraction of the two sizes.

3928626	C4	2222268	14	 You need to conditionally check if the query string is empty.

